ID,Group,Feature_1,Feature_2,Feature_3
ID763,C,2234.2420510290117,386.4916961724905,843.2965237914848
ID204,C,2501.7230607886722,433.99370465278525,788.4496605031354
ID734,C,2861.9671731482113,403.9448857612547,92.26389681028604
ID422,B,2652.5091391747355,404.92256749804847,7517.0505234486545
ID559,C,2658.9807378415853,433.0701743565495,689.703616397645
ID432,A,2386.2083983175967,400.3174362340746,7765.009727858159
ID337,B,2414.6780083068816,384.6337368147631,7584.055000814783
ID347,C,2222.607613969024,400.0506465712427,41.252862191753366
ID774,C,2610.0495897218334,381.82339836726425,449.664460050722
ID142,B,2251.1145847126336,403.23055863760936,7290.4130870534145
ID892,B,2981.0110609481326,385.7743677106468,8021.3349724758955
ID898,B,2139.82709980355,391.88793669732183,7457.764175442953
ID345,B,2534.144652488012,395.80865329815066,7325.4007803201475
ID290,A,2516.346357937312,428.2303006427377,7862.841207114136
ID853,B,2149.6408307245792,400.6716108021599,6995.525788855366
ID581,C,2751.831932486662,388.30576186811095,210.43327550690674
ID602,A,1885.8214754165394,402.1847533557226,6644.511451665823
ID179,A,2609.559356295011,392.04996575303414,8048.27162076871
ID584,A,2699.828516527713,408.6494984203357,8711.715555954823
ID707,A,2615.436386772334,397.01358806548075,8352.192845472258
ID154,A,2587.6726242531427,361.06658091059614,9138.206121029858
ID442,A,3151.2890994090712,403.0138284882936,10179.404084969698
ID849,C,2858.4853369627726,415.7914086768609,-1.5902127070448842
ID119,A,2717.194143181087,418.8499584940243,8972.140086189913
ID790,A,2996.61324217143,418.1580292243828,9442.651509256286
ID619,C,2611.4899684460415,410.7137155476442,404.6710922133593
ID488,C,2202.000544874392,393.19009039180406,995.1590653400835
ID554,A,2656.5161013598804,395.02272122788025,8765.610926346086
ID259,A,2049.5468764403786,391.6997016489697,6636.824024875145
ID873,B,2248.207776389885,402.10569397905454,6832.10017102679
ID697,B,2120.482096468128,394.0750621153041,7034.779097531978
ID701,C,2378.972178452879,387.2646527242144,742.1544944304385
ID416,C,2685.341279334015,400.67042276395756,711.0454567858947
ID338,B,2252.215443641467,387.56233135948236,6764.188060558381
ID224,B,2344.906780735656,407.56455737953377,6492.318938249615
ID227,C,2294.706322008207,392.92354596965527,880.0003925679825
ID107,B,2599.989603529816,395.760153050891,7275.415154204283
ID127,A,2690.8327415325234,396.14317362700405,8824.957560815266
ID309,B,2285.2691187412324,410.1405917171786,7309.130499968032
ID477,C,2503.8170359490878,402.9939319655943,639.276403910827
ID655,B,2639.4546530359526,390.9277508070257,7848.828425042984
ID257,A,2652.6162755785945,416.9972225595399,8503.003031475206
ID261,C,2346.968825717931,396.94034612143184,592.1735956386624
ID181,B,2217.0533095033156,387.48386634423656,7165.06410520578
ID313,B,2835.6852708472125,383.1786322594991,8167.400726168069
ID141,C,2792.9890728708338,398.69908282192864,308.81616659843894
ID434,B,2602.225665294459,413.4464202209444,8045.61814612209
ID757,C,2310.336967233415,407.22366043800747,714.8755818336915
ID156,A,2309.4929383065264,379.9096695240422,7855.3958285775625
ID893,B,2696.632257121802,403.52087469225023,7746.151594454133
ID310,A,2440.2154910186923,427.3812179788191,7854.195466823283
ID272,B,2428.885450050076,382.9495879878896,7256.715148984219
ID117,B,1996.9549528520674,415.24888872115173,6631.707981847987
ID794,B,2642.2739709708694,409.4868716703095,7983.084338586551
ID459,C,2425.840779655598,404.7798506932481,813.3278813411553
ID408,A,2819.7886159435,402.2943729861776,8359.39404020768
ID489,A,2346.9787657634165,399.4547169094932,7228.5448360930495
ID125,B,2985.650212480449,407.3715598655614,8613.47121796076
ID476,C,2303.321689417371,406.2051264066675,39.3127950433975
ID134,B,2593.1325665544987,393.46802889975294,7489.573794914781
ID403,A,2635.0177953349057,407.1867892082241,8568.549954773152
ID212,C,2411.876407642094,405.86531599278493,168.49980752946112
ID878,C,2466.337035313776,367.6471069410953,975.6458684118561
ID640,B,2781.409851905549,423.6296581864279,8708.828043071744
ID366,C,3114.7648899591313,379.34669477451433,-771.407666288567
ID220,B,1853.8960883493298,411.29854524615973,6324.934840862385
ID710,B,2023.318346422782,378.43873016068807,6589.647885789282
ID616,C,2283.7180786735753,412.98303824932583,555.1788322561831
ID333,A,2155.817858729135,372.4054285561169,7316.800075309324
ID547,A,2448.873347636176,372.36208583653047,7757.744545736088
ID455,B,2390.561286511774,399.5577370229643,7292.832005653002
ID534,A,2610.234021099794,403.63927882865175,8347.132516618905
ID180,C,1871.4088109307286,401.51556043271404,652.4813408656112
ID254,A,2916.880643825924,400.26541557505055,8823.969170312226
ID556,A,2593.421998002898,412.79069863762965,8752.709725313462
ID496,A,2687.2581251253514,382.4661499494983,8965.654518198893
ID176,B,2691.1713755245864,383.65798121602165,8107.124505704972
ID359,B,2189.701199501108,359.7613309259722,7112.197771882496
ID284,B,2433.403161546406,397.376387180606,7508.963095721852
ID814,C,2719.452534948799,396.0964938277714,83.17953792426033
ID226,C,2250.3270473604266,409.014474571002,1112.3698745757863
ID654,A,1790.6818032617762,409.0866318588516,5601.886352550266
ID676,C,2576.3124234367806,381.8033107068436,76.25107447023629
ID108,A,3193.8583915976833,397.7639211590822,10222.727376145791
ID698,B,2288.016735157168,421.04263857787436,6812.617313987352
ID274,A,2522.125752074401,383.58258694742483,8297.204911951829
ID285,B,2749.189395191522,391.8024481099705,8152.827181659186
ID208,C,2298.191289982589,412.73335008316826,503.8084141726581
ID809,C,2268.1913566851435,402.3415121410064,606.2828910382516
ID207,C,2150.6037003541373,374.88850266911055,507.99045313112583
ID388,B,2459.186025995756,414.110349699464,6983.831692566713
ID152,B,2918.4690808328205,415.2300112008579,8036.706952773095
ID576,B,2079.1300059517284,401.4929082254356,6554.988464899667
ID682,A,1921.5114117892301,419.5975245283501,5739.195772122364
ID214,B,2625.3691127924,378.168752873821,7678.14411335429
ID262,C,2174.734065703968,401.8530698185573,483.62807432057116
ID308,B,2570.1037284202057,420.28129823866743,7659.476535508209
ID316,B,2893.250152114637,389.75405303784186,7825.435712242588
ID195,C,2202.3604880078706,423.222773815395,759.4251303030012
ID360,B,2312.0073191510187,418.80956336596336,6828.436700678043
ID132,B,2245.3641314669794,405.4242403812031,6511.617570071732
ID209,A,2478.8784802499995,399.95879990558194,8086.732021802358
ID399,B,1958.2554565764576,378.76418858613846,5999.802388355807
ID424,A,2614.595911366239,393.6747347526513,8859.537014728703
ID538,B,2034.610473434831,371.0838376367628,6965.859406849891
ID193,A,2234.0389188846884,386.3342185517278,7313.054512481287
ID649,A,2795.0722088748116,403.7962629915433,8695.449072320225
ID627,B,2625.1104062334903,385.37730927264283,7921.2244302396175
ID158,A,2860.207818198066,387.20582867577355,9523.70218355627
ID319,A,2274.8620363669593,388.05477088528556,7084.63069040417
ID764,C,2224.9076757954713,392.72877095944926,462.7555451600083
ID161,A,2551.9430712335584,409.28567795636116,7986.6814927581945
ID203,B,2533.158450236392,396.1283753278909,7983.578700695451
ID693,B,2118.146611549633,393.6165934887958,6595.221551765611
ID264,C,2669.2809910962305,400.84415277696917,454.7500260350189
ID509,C,2609.9287876576595,387.39510417292706,291.8341575455561
ID305,C,2811.9519827746285,388.0730390392939,333.1700688765136
ID662,A,2729.492270480032,381.19223465144205,8665.513684746416
ID121,C,2612.4279763416803,419.44381825675896,574.9191669752245
ID721,B,2412.3148059094783,402.5071873462096,7504.97539851318
ID692,A,2599.1407238029037,399.9888021208444,8306.879671291334
ID405,C,2362.6550002524828,401.2331128706356,995.4115791192544
ID380,C,3187.1892499880632,390.2741467652375,246.05757382977845
ID371,C,2764.228905292502,416.97530101135095,132.20166010140792
ID168,A,2591.457010583841,372.28975879329624,7762.712958676616
ID541,C,1932.6417617660718,410.36816160259696,1106.895926402659
ID641,C,2960.309900551343,411.5575046361037,-181.2412006249865
ID382,A,2881.0124289563464,408.35607872852523,9559.665849966583
ID683,B,2315.8552156564115,406.81459903810446,6706.91901872742
ID883,C,2166.3505362813175,381.42088253214723,1131.3242669780973
ID733,A,2311.0750168794393,388.7672650682985,7410.334029878877
ID823,A,2151.6979895116388,419.1686560186467,7213.978416678342
ID766,B,2081.634975865604,413.668186482015,6544.005994677809
ID571,C,2787.1697051956103,414.7234344600654,-244.53603287378746
ID222,C,1761.0167315239955,417.32314016736206,1255.1482558987313
ID788,B,2500.9342136463224,402.58973437556386,7530.224187630978
ID128,A,2727.473038069689,395.40532925686546,9140.29412471424
ID233,B,3037.7225501433977,392.3074122330917,8780.803495243083
ID590,A,2215.65555722367,386.66101057945866,7325.49435635551
ID402,A,2270.5043935375325,413.970783325755,7085.649747388718
ID163,B,2584.3664894011404,413.67876629644087,8238.482807336159
ID136,A,2190.6087291625277,349.9352763493701,6830.283675796342
ID318,A,2695.752717435864,406.5203181243405,8754.001023524363
ID798,C,2512.8087627399277,412.8627438739299,702.7316377258721
ID270,B,1868.7276047294156,379.01109000851386,6360.193375688259
ID867,B,2349.502564244234,395.0828930310029,7355.316021237715
ID808,C,2064.050278360743,384.46275973473536,1353.0683846022694
ID667,C,2955.892610340319,390.800163691787,-168.42997353334204
ID139,B,2816.6417253664563,395.54676799524856,8726.165138718325
ID363,A,2515.233870303599,423.6335381637014,8262.158105797354
ID368,C,1883.7788030696238,397.05107309788207,1234.3043662021373
ID297,A,2426.4759493464567,376.1474107039309,7787.477451680519
ID799,C,2240.986461390449,396.84983315709593,319.86412146704834
ID521,A,2414.1744239865716,389.07547485671967,7547.515633549639
ID803,A,3028.757542140505,380.4313005797688,9829.977347145285
ID563,B,2856.6651339563123,389.74955428664157,8752.438073016732
ID583,C,2703.9037052851204,414.57334070173096,598.7774304357235
ID105,C,2710.3245430724755,403.79257942285756,557.8337042306212
ID532,B,2615.842321389172,421.5294724139035,7779.879783946209
ID450,C,2281.0709650684844,414.6593840473686,805.170521837789
ID384,C,2931.876985088972,414.01218881615586,-179.07833138502247
ID516,C,2849.8987078109776,381.3337926198661,324.1852338111962
ID266,B,2479.0637408084795,400.85888078944066,6826.848452464358
ID395,A,2707.426281207405,413.2400121579928,8515.877945890079
ID536,C,2947.946709499797,391.3849450586136,122.3481024737639
ID498,A,2333.0217872659914,397.28124602691497,7083.457294690842
ID191,C,2476.0411227928153,384.5694158192003,394.7471002360917
ID897,C,2535.8410334010923,389.06577726045816,455.5632936851616
ID508,A,2779.331375536087,382.87601788075153,8910.511524643656
ID630,B,2288.195484370226,399.2208827109789,7274.0800664305625
ID787,B,1934.7454605349403,376.2537577971061,6456.78361235839
ID370,B,2353.8846799789735,408.2900557298908,7219.38240244134
ID753,C,2544.409235367378,379.72474139214034,677.157658778809
ID106,B,2542.9660606787465,398.81100193885084,7679.278098130697
ID393,C,2798.0743904496467,409.9233841709188,718.6856695752103
ID216,C,2852.922762749031,369.3847206404355,139.01896619274567
ID659,A,2645.521065941416,386.76233471668047,8349.346554151347
ID482,B,2110.193513765824,400.10104564179926,6623.663723917238
ID301,C,2153.2924809151773,406.54590491949466,865.0411515463106
ID404,B,2060.7414339317465,399.86327943522406,7209.721320476674
ID593,C,2432.721399771385,423.7450114030442,578.7833241509686
ID801,C,2440.171372992974,375.45497047387255,660.8234431652372
ID548,C,2139.9005743961234,402.3109352404694,550.8424820263122
ID413,A,2567.7716046905553,428.48322364497454,8234.17583416614
ID545,C,2215.6818218055346,386.53622809124204,673.4222291632029
ID852,A,2321.899673006401,392.1001759040379,7468.297016235564
ID804,A,2425.9014757899213,398.48597851336774,7784.759128262298
ID665,A,2829.018192923297,394.8246475292424,9256.084587379746
ID560,B,2391.5652271971912,406.2235865191699,7265.213252281231
ID325,A,2510.737536454589,395.219936745648,8447.159312054657
ID589,A,2420.359110130752,425.9127209684474,8029.08410221781
ID240,A,2480.442845010946,383.36708964877926,8301.376506662475
ID696,A,2692.073365869408,416.2492592743092,7997.166977030318
ID228,B,2902.2140387872873,377.5483996109442,8580.239531609908
ID300,A,2266.5759004466513,385.63434413670507,7627.678048468446
ID230,C,2036.838233767094,402.8598215218111,943.9202043397777
ID731,B,1946.7936665233854,390.6557608407118,6472.51661755912
ID578,A,2108.2852943862317,390.89436056933647,7068.03968689328
ID724,B,2770.0701978890306,380.28062999789336,7556.356935552274
ID454,C,2410.502371027783,385.9957771089918,610.9451545530596
ID642,C,2462.571020961256,404.59935085889873,410.14238284651583
ID869,A,2910.132600761207,400.3569052681136,9301.93393370191
ID231,B,2495.7371954692344,404.2470705565892,7241.939400059548
ID670,C,2764.285362175819,399.5554499716151,440.10414293723807
ID624,B,2642.525583343247,414.50880566046254,8083.8572122934365
ID537,A,2647.358612754573,446.6259563486669,8333.8726729005
ID249,A,2626.5335365433666,415.0516278614803,8393.013042178362
ID845,B,2564.6445242727996,377.8272103531915,7001.399087391846
ID469,B,2848.6543972711756,401.8974464144015,8834.227861030464
ID468,A,2907.575801514952,377.18591241726557,10041.351921435778
ID244,C,2702.564608784896,397.5248060552008,60.57761439270962
ID585,C,2883.500228191011,441.342890448115,97.27431278256927
ID304,B,2479.678456678039,414.47837706915095,7759.349622545135
ID704,C,2896.1031348817733,375.69849742547024,-66.67428668137336
ID863,B,2568.0100510553207,427.4357200781638,7734.020432496109
ID410,B,2349.827826763307,388.46386157668843,7084.692743221447
ID324,C,2958.234355113925,387.85745502096023,-636.1299033230871
ID857,C,2866.061269579001,439.88346786339633,-11.844003716859788
ID381,C,2207.2445975231067,428.40341263663504,667.5498800788491
ID298,A,2765.1199653567865,425.1479941972827,8459.231894421864
ID574,B,2266.5202421745607,413.2503955569472,7311.5893381969545
ID265,B,2436.354646108039,383.9982803260956,6894.527585498883
ID481,B,2656.32422890279,421.96958592633166,7667.301089314792
ID618,A,2815.607881884373,445.140354174299,8497.279531013046
ID595,A,2534.5745510248553,411.22792386440403,8224.10934028745
ID278,B,2560.425111897824,380.4929969808106,7432.5126007407525
ID666,A,2466.2083863160965,401.0109240335549,8004.785693932456
ID479,B,3198.7688804306304,400.1067676425789,8938.030208440494
ID286,A,2093.7829287780564,390.7196123956926,7008.090402002421
ID524,B,2049.588926260023,412.779683478687,6818.772023629218
ID201,B,2330.1188544676484,393.55803990120705,7058.268056182435
ID334,C,2321.909646379589,378.4562903039978,832.9831394163984
ID506,C,2299.988698954191,420.277430220697,463.79157189361035
ID848,C,3221.620614640071,414.7040136024011,-421.4441283823594
ID751,B,2576.0401816000262,395.73153192736163,7818.259829208066
ID669,C,2314.389039201151,395.12796701764546,378.7925425763383
ID544,C,2529.6194177068764,408.70822163426226,34.631478617955054
ID626,B,2209.1134558884683,416.9516106834092,6733.89383353423
ID875,B,2230.4411704589284,408.8456899155573,6773.369868643091
ID346,B,1886.977404730662,418.7138488965464,6138.343025263705
ID287,B,2724.1670425915313,420.1617611607633,7824.045301528894
ID187,A,2454.4853290141273,405.9391633154797,7503.784530231408
ID722,A,2947.701913770801,406.43937019205697,9095.025243813097
ID441,A,2490.6418004854354,403.51810586058355,7420.239839037626
ID587,B,2205.0987538459585,372.336967326034,6633.927341971388
ID664,C,3076.621279090286,394.5144424372553,-286.16925956191426
ID307,C,2594.461040684663,406.91646023015085,-172.96591694096242
ID269,A,2103.146999049515,411.14380323301305,6700.379410113517
ID251,C,2093.6319579287965,368.3375962466298,352.48994905341715
ID546,A,2313.5521975627885,428.5831385400286,7443.629767419028
ID604,A,2753.864510729388,417.18924851418535,8484.712395183633
ID394,B,2487.7673598356932,390.3209005914179,7811.75651461444
ID694,B,1980.5163733246761,432.38709909525994,5994.03141261893
ID126,C,2440.18453081367,400.46350136977406,24.213778476484777
ID836,B,2695.2370807522225,370.76861973571664,7680.100103003421
ID400,B,2140.311784674487,399.1469405200478,6679.792823051726
ID433,A,2304.599664331617,396.8903116779027,7581.6136676503875
ID383,A,2065.590597951514,399.3415469066058,6690.186418550609
ID769,B,1987.0299475363854,379.94824685832685,6676.957907494085
ID375,A,3011.7426585085072,414.19033775815626,9122.64883564257
ID336,A,2430.4369182151945,408.44666918494437,7993.520803390604
ID838,B,2668.5141658756816,407.96819107266674,7335.878684011239
ID114,B,2658.293389833773,379.3783413074874,8209.741560074932
ID755,B,2267.4213702665947,390.34360315189804,6760.3473265538705
ID607,B,2358.3324176442484,410.1174481802524,7306.733986823658
ID812,C,2560.181534433063,405.6696139576918,668.4079497763132
ID160,C,2900.582736252175,374.4778764541151,61.58558116859285
ID861,C,2612.555615954998,398.2737366085565,562.715215354343
ID279,A,2259.135999058296,377.76630960646924,6930.686286961143
ID173,B,2209.9795317689604,395.29937136435416,6792.580688177204
ID706,C,2706.6888586662035,437.2765165112128,603.5794207804852
ID242,A,2497.1945127830327,391.55145790156485,8203.778379039984
ID341,A,2639.3788452466374,409.04247330648354,8008.268000261824
ID526,C,2111.2458840955514,387.8854198090755,1456.977216750632
ID540,B,2384.9980053913914,409.0964388821013,6915.437051246068
ID421,C,2096.2154176390004,412.1306776062958,522.8647607705532
ID565,C,2186.9343668366814,397.9358073035204,389.58612438063346
